Term,P(class1),P(class2),P(class3),P(class4)
angular,0.0001,0.0001,0.0002,0.0003
anim,0.0001,0.0008,0.0002,0.0002
ann,0.0001,0.0001,0.0005,0.0002
anneal,0.0001,0.0001,0.0005,0.0002
anomali,0.0001,0.0003,0.0002,0.0002
anoth,0.0001,0.0001,0.0002,0.0003
anova,0.0003,0.0001,0.0002,0.0002
ant,0.0009,0.0001,0.0002,0.0002
anticip,0.0001,0.0001,0.0002,0.0003
ao,0.0001,0.0001,0.0002,0.0005
apach,0.0001,0.0003,0.0002,0.0002
appl,0.0001,0.0003,0.0002,0.0002
appli,0.0013,0.0008,0.001,0.0005
applic,0.0018,0.0017,0.0012,0.0029
approach,0.0038,0.0039,0.0027,0.0048
appropri,0.0004,0.0003,0.0002,0.0002
approv,0.0001,0.0001,0.0003,0.0002
approxim,0.0001,0.0003,0.0003,0.0002
aquat,0.0001,0.0003,0.0002,0.0002
arabl,0.0001,0.0001,0.0003,0.0002
archimedean,0.0001,0.0001,0.0002,0.0003
architectur,0.0001,0.0016,0.0005,0.0003
archiv,0.0006,0.0001,0.0002,0.0002
archive-driven,0.0002,0.0001,0.0002,0.0002
area,0.0008,0.0004,0.0008,0.0003
arima,0.0001,0.0004,0.0002,0.0002
aris,0.0001,0.0003,0.0002,0.0002
arisen,0.0001,0.0001,0.0003,0.0002
arithmet,0.0001,0.0003,0.0002,0.0002
arm,0.0003,0.0004,0.0002,0.0002
aro,0.0006,0.0001,0.0002,0.0002
around,0.0002,0.0001,0.0002,0.0002
arous,0.0001,0.0003,0.0002,0.0002
array,0.0002,0.0001,0.0002,0.0002
arriv,0.0001,0.0001,0.0002,0.0007
articl,0.0004,0.0008,0.0002,0.0002
artifici,0.0014,0.0014,0.0005,0.0005
ask,0.0002,0.0003,0.0002,0.0002
aspect,0.0003,0.0006,0.0003,0.0009
assd,0.0001,0.0004,0.0002,0.0002
assess,0.0013,0.0003,0.001,0.001
assign,0.0004,0.0008,0.0002,0.0002
assist,0.0003,0.0004,0.0002,0.0003
associ,0.0003,0.0001,0.0002,0.0005
assumptions/prior,0.0001,0.0003,0.0002,0.0002
assur,0.0001,0.0003,0.0002,0.0002
asthma,0.0001,0.0001,0.0005,0.0002
astut,0.0002,0.0001,0.0002,0.0002
asymmetr,0.0003,0.0001,0.0002,0.0002
attack,0.0002,0.0001,0.0002,0.0002
attain,0.0002,0.0001,0.0003,0.0002
attempt,0.0002,0.0003,0.0002,0.0002
attent,0.0002,0.001,0.0002,0.0002
attentive-gin,0.0001,0.0003,0.0002,0.0002
attract,0.0001,0.0001,0.0003,0.0002
attribut,0.0001,0.0004,0.0002,0.0002
audio,0.0001,0.0003,0.0002,0.0005
augment,0.0002,0.0005,0.0012,0.0002
australian,0.0001,0.0001,0.0002,0.0003
authent,0.0001,0.0001,0.0002,0.0003
author,0.0002,0.0001,0.0002,0.0003
autom,0.0001,0.0009,0.0005,0.0002
automat,0.0002,0.0004,0.0003,0.0002
autonom,0.0001,0.0003,0.0002,0.0002
autonomi,0.0001,0.0003,0.0002,0.0002
autoregress,0.0001,0.0003,0.0002,0.0002
avail,0.0004,0.0003,0.0005,0.0007
avenu,0.0002,0.0001,0.0003,0.0002
